feedback,aspect,sentiment
học máy chiếu quạt đèn,3,Neutral
thầy cô bám bám sát nội dung môn học trong từng phần chương bài khoa học rõ ràng chuyên nghiệp cập nhật kiến thức mới cách làm mới cho học viên,2,Positive
thầy cô bám bám sát nội dung môn học trong từng phần chương bài khoa học rõ ràng chuyên nghiệp cập nhật kiến thức mới cách làm mới cho học viên,3,Positive
các ý kiến khác,1,Neutral
các ý kiến khác,2,Neutral
các ý kiến khác,3,Neutral
dễ hiểu vui vẻ,2,Positive
vùa đủ,1,Neutral
máy lạnh,3,Neutral
nội dung hay,1,Positive
dạy nhanh,2,Negative
thầy cô có thái độ khó chịu khi sinh viên hỏi bài,2,Negative
chấm điểm đúng,2,Positive
phòng học,3,Neutral
thầy cô vào ra lớp đúng giờ thầy cô di dạy trễ cho về sớm,2,Negative
ok,4,Positive
phù hợp với học sinh,1,Positive
phòng học máy chiếu quạt đèn,3,Positive
cô cũng cấp đầy đủ đề cương chi tiết,1,Positive
bài tập phù hợp với chương trình và có bài tự học,1,Positive
thiết bị mới và hỗ trợ cho việc dạy học rất nhiều,3,Positive
dày dặn kinh nghiệm,2,Positive
thầy cô không chủ động tương tác với học viên trong giờ học,2,Negative
thầy cô bám bám sát nội dung môn học trong từng phần,1,Positive
số lượng bài tập vừa đủ không quá khó,1,Positive
thầy cô di dạy trễ cho về sớm,2,Negative
thầy cô vào ra lớp đúng giờ thầy cô di dạy trễ cho về sớm thầy cô thực hiện giảng dạy theo đúng thời khóa biểu thầy cô hay bỏ lớp để làm việc riêng,1,Negative
cập nhật kiến thức mới cách làm mới cho học viên,1,Positive
thầy cô cung cấp đủ giáo trình học,1,Positive
nội dung bài học bám sát thực tế,1,Positive
phương pháp dạy học hấp dẫn,2,Positive
tương tác với học sinh,2,Positive
chấm điểm hợp lí,2,Positive
phòng học rộng hơn,4,Negative
tối,2,Negative
hm,4,Neutral
bài tập phù hợp và dễ vận dụng bào thực tế,1,Positive
thiết bị phù hợp với việc dạy học,3,Positive
bài tập bám sát với chủ đề học,1,Positive
tạo nhiều điểm cộng để cải thiện điểm,2,Positive
thiết bị hiện đại tốt,3,Positive
các ý kiến khác,4,Positive
nhiều kinh nghiệm,2,Positive
bài tập ít,1,Negative
chấm điểm bình thường,2,Neutral
ụ thầy cô vào ra lớp đúng giờ thầy cô di dạy trễ cho về sớm,2,Neutral
mục tiêu học tập chung của môn học cách thức kiểm tra đánh giá giáo trình bài giảng tài liệu tham khảo và cách thức tìm các tài liệu học tập của môn,1,Neutral
mục tiêu học tập chung của môn học cách thức kiểm tra đánh giá giáo trình bài giảng tài liệu tham khảo và cách thức tìm các tài liệu học tập của môn,2,Neutral
mục tiêu học tập chung của môn học cách thức kiểm tra đánh giá giáo trình bài giảng tài liệu tham khảo và cách thức tìm các tài liệu học tập của môn,3,Neutral
mục tiêu học tập chung của môn học cách thức kiểm tra đánh giá giáo trình bài giảng tài liệu tham khảo và cách thức tìm các tài liệu học tập của môn,4,Neutral
máy chiếu mờ,3,Negative
máy chiếu quạt đèn,3,Neutral
đủ tài liệu hỗ trợ việc học,1,Neutral
phong phú,2,Positive
thêm đèn,4,Negative
phòng học nhỏ,3,Negative
đề cập đến bài tập số lượng bài tập và các loại bài tập của giảng viên,1,Neutral
chấm điểm sát với bài làm của sunh vuên,2,Positive
phòng học máy chiếu quạt,3,Neutral
mục tiêu học tâp trung của môn,1,Neutral
dể hiểu,2,Positive
chủ động tương tá,2,Positive
9 0,2,Positive
thầy cô ra lớp đúng giờ,2,Positive
mong thầy cô đổi mới quá trình dạy học,4,Negative
bám bám sát nội dung môn học trong từng phần chương bài,1,Positive
có kinh nghiệm tốt khi đưa bài học thực tế vào môn dạy,2,Positive
số lượng bài phù họp,1,Positive
em thấy thầy cô chấm điểm còn hơi khó,2,Negative
mong thầy cô sẽ giao bài tập vừa đủ cho sv chấm điểm cao lên xíu ạ hihi,4,Negative
các ý kiến đề cập đến kinh nghiệm thực tiễn và việc đưa nội dung thực tiễn lồng ghép vào bài giảng your answer các ý kiến đề cập đến kinh nghiệm thực tiễn và việc đưa nội dung thực tiễn lồng ghép vào bài giảng,2,Neutral
các ý kiến đề cập đến trang thiết bị dạy học như phòng học máy chiếu quạt đèn your answer các ý kiến các ý kiến đề cập đến trang thiết bị dạy học như phòng học máy chiếu quạt đèn,3,Neutral
các ý kiến đề cập đến đề xuất mong muốn của sinh viên gửi đến giảng viên và nhà trường your answer submit clear form,4,Neutral
chi tiết,1,Neutral
đầy đủ thiết bị học tập giáo trình rõ ràng,1,Positive
nội dung học tập phong phú,1,Positive
giảng viên có kinh nghiệm giảng dạy,2,Positive
hay có sự thu hút,2,Positive
hoà đồng thân thiện,2,Positive
lượng bài tập vừa đủ dễ dàng hoàn thành,1,Positive
cách chấm điểm hợp lý,2,Positive
đúng quy trình,2,Positive
đầy đủ mới mẻ,3,Positive
thầy bám sát nội dung,1,Positive
tốt đa dạng,2,Positive
thầy vào lớp đúng giờ,2,Positive
các ý kiến đề cập đến việc cung cấp tài liệu giáo trình giáo án của thầy cô,1,Neutral
các ý kiến đề cập đến việc cung cấp tài liệu giáo trình giáo án của thầy cô,2,Neutral
các ý kiến đề cập đến việc cung cấp tài liệu giáo trình giáo án của thầy cô,3,Neutral
các ý kiến đề cập đến việc cung cấp tài liệu giáo trình giáo án của thầy cô,4,Neutral
sáng tạo ạ,2,Positive
thân thiên hòa đồng nhiệt tình,2,Positive
máy hơi lag,3,Negative
thầy cung cấp đầy đủ cho thông tin họccc,1,Positive
dễ hiểu năng động sáng tạo,2,Positive
thầy chủ động tương tác với sinh viên trong giờ học,2,Positive
ra vào đúng giờ giấc,2,Positive
máy hơi lag con chuột bấm bị đứng màn hình mở không lên,3,Negative
cung cấp đầy đủ kiến thức nội dung tài liệu ôn tập,1,Positive
bám sát trường trình,1,Positive
có liên kết thực tiễn,2,Positive
thân thiện có tương tác với học sinh,2,Positive
bài tập đủ các dạng từ dễ tới khó,1,Positive
minh bạch chính xác,2,Positive
thầy ra vào lớp đúng giờ đúng thời khoá biểu,2,Positive
chúc thầy cô có nhiều sức khỏe,4,Positive
h công bố đầy đủ học liệu các ý kiến đề cập đến,1,Neutral
công bố đầy đủ học liệu các ý kiến đề cập đến,1,Neutral
công bố đầy đủ học liệu các ý kiến đề cập đến,2,Neutral
công bố đầy đủ học liệu các ý kiến đề cập đến,3,Neutral
công bố đầy đủ học liệu các ý kiến đề cập đến,4,Neutral
thầy cô cung cấp đầy đủ đề cương chi tiết mục tiêu học tập chung của môn học,1,Positive
thầy cô chủ động tương tác với học viên trong giờ học thầy cô không chủ động tương tác với học viên trong giờ học,2,Neutral
thầy cô thực hiện giảng dạy theo đúng thời khóa biểu thầy cô hay bỏ lớp để làm việc riêng,2,Negative
không y kien,4,Neutral
thầy cô cung cấp đầy đủ đề cương chi tiết mục tiêu học tập chung của môn học cách thức kiểm tra đánh giá giáo trình bài giảng tài liệu tham khảo và cách thức tìm các tài liệu học tập của môn,2,Positive
thầy cô vào ra lớp đúng giờ thầy cô di dạy trễ cho về sớm thầy cô thực hiện giảng dạy theo đúng thời khóa biểu thầy cô hay bỏ lớp để làm việc riêng,3,Positive
thầy cô vào ra lớp đúng giờ thầy cô di dạy trễ cho về sớm thầy cô thực hiện giảng dạy theo đúng thời khóa biểu thầy cô hay bỏ lớp để làm việc riêng,4,Positive
hay và đầy đủ,2,Positive
rõ ràng,2,Positive
đạt yêu cầu,3,Positive
đạt yêu cầu,4,Positive
kinh nghiệm dày,2,Positive
cô không chủ động tương tác với học viên trong giờ học,2,Negative
hầy cô vào ra lớp đúng giờ,2,Positive
ồng ghép vào bài giảng,2,Positive
đề cập đến kinh nghiệm thực tiễn,2,Positive
số lượng bài tập và các loại bài tập của giảng viên,1,Positive
cải thiện môi trường học tập,4,Positive
tuyehte,1,Positive
hành vi tốt,2,Positive
thầy cô chủ động tương tác với học viên trong giờ họ,2,Positive
tổt,3,Positive
dễ thương,2,Positive
cô rất đúng giờ,2,Positive
quá nhiều,1,Negative
minh bạch,2,Positive
áp dụng tốt vào các vấn đề thực tiễn,2,Positive
đầy đủ,4,Positive
không co,4,Neutral
theo quy định,2,Positive
c đưa nội dung thực tiễn lồng ghép vào bài giảng,2,Positive
tốt và đầy đủ,3,Positive
tốt và đầy đủ,4,Positive
rất ổn,2,Positive
thầy bám sát nội dung môn học,1,Positive
không có câu trả lời,2,Neutral
thầy nhiệt tình giúp đỡ khi sinh viên hỏi bài,2,Positive
thầy chấm điểm dễ,2,Positive
chuột hơi lag,3,Negative
e mong muốn nhà trường nên trang bị các máy móc thiết bị tốt hơn ổn hơn để các bạn sinh viên học tập tốt hơn,4,Negative
xuất sắc,2,Positive
tôn trọng,2,Positive
vừa,1,Neutral
rõ ràng cập nhật đầy đủ kiến thức,1,Positive
thầy chủ động tương tác với sv nhiệt tình,2,Positive
lượng bài tập ôn tập đầy đủ ôn lại kiến thức,1,Positive
đúng giờ giấc học,2,Positive
máy tính phòng lạnh tốt,3,Positive
thầy cô bám bám sát nội dung môn học trong từng phần chương,2,Positive
thầy cô bám bám sát nội dung môn học trong từng phần chương,3,Positive
thầy cô bám bám sát nội dung môn học trong từng phần chương,4,Positive
thầy cô cung cấp đầy đủ đề cương chi tiết mục tiêu học tập chung của môn học cách thức kiểm tra,1,Positive
thầy cô bám bám sát nội dung môn học trong từng phần chương bài khoa học rõ ràng chuyên nghiệp cập nhật kiến thức mới cách làm mới cho học viên,4,Positive
mục tiêu học tập chung của môn học,1,Neutral
giải dạy kĩ hơn,1,Negative
giảng dạy kĩ hơn,1,Negative
chưa rõ ràng,2,Negative
làm cho học sinh cho hiểu,2,Positive
đừng quá khiêm khắc,4,Negative
khoa học rõ ràng chuyên nghiệp cập nhật kiến thức mới cách làm mới cho học viên các ý kiến khác,1,Positive
đạt yêu cầu,1,Positive
các ý kiến đề cập đến kinh nghiệm thực tiễn và,2,Neutral
để sinh viên tự học chỉ gửi clip tham khảo,2,Negative
quá đủ rồi,4,Positive
khum,4,Neutral
cô cung cấp đầy đủ đề cương chi tiết,2,Positive
cô cung cấp đầy đủ đề cương chi tiết,3,Positive
khoa học rõ ràng,1,Positive
khác,2,Neutral
khác,1,Neutral
thầy cô cung cấp đầy đủ đề cương chi tiết mục tiêu học tập,1,Positive
thầy cô bám bám sát nội dung môn học trong từng phần chương bài khoa học rõ ràng,1,Positive
đề cập đến kinh nghiệm thực tiễn và việc đưa nội dung thực tiễn lồng ghép vào bài giảng,2,Positive
phù hợp,2,Positive
hơi chậm,2,Negative
đúng,2,Neutral
chán không thu hút,2,Negative
thầy cô cung cấp đủ đề cương,1,Positive
giáo viên thân thiện,2,Positive
bài tập không nhiều,1,Positive
thầy cô chấm dễ,2,Positive
thầy cô đi dạy đúng giờ,2,Positive
kinh nghiệm thực tiễn được thầy cô đưa vào bài giảng hợp lý,2,Positive
dễ hiểu hấp dẫn sinh động tạo hứng thú học tập đúng tiến độ của tkb,2,Positive
đầy đủ và phù hợp với thời gian dành cho từng môn học,1,Positive
tất cả đều hiện đại và giúp học tập hiệu quả,3,Positive
thực tế,2,Neutral
cô dạy dễ hiểu dạy không quá nhanh,2,Positive
cô luôn vui vẻ thân thiện trong giờ học,2,Positive
cô cung cấp các bài học chỉnh chu đầy đủ dễ hiểu,1,Positive
nội dung giảng dạy thu hút dễ dàng tiếp thu bám sát vào nội dung bài học,1,Positive
phương pháp giảng dạy dễ hiểu dễ dàng tiếp thu một cách nhanh chóng,2,Positive
thái độ công bằng nhiệt tình giúp đỡ học sinh,2,Positive
đầy đủ hài lòng,1,Positive
đầy đủ hài lòng,2,Positive
đầy đủ hài lòng,3,Positive
khảo và cách thức tìm các tài liệu học tập của môn,1,Positive
dễ hiểu không quá nhanh,2,Positive
hài lòng đầy đủ chỉnh chu,1,Positive
hài lòng đầy đủ chỉnh chu,2,Positive
hài lòng đầy đủ chỉnh chu,3,Positive
số lượng ổn,1,Positive
thầy cô có chuẩn bị tài liệu cho sinh viên tham khảo nhưng em thấy buổi,1,Negative
có tài liệu để chúng em tham khảo ạ,2,Positive
đúng mực ạ,2,Positive
có btap và khá nhiều ạ,1,Negative
thầy cô chấm điểm hơi khó ạ,2,Negative
thầy cô dạy đúng giờ ra về đúng giờ,2,Positive
em không có,4,Neutral
nhiệt tình và có trách nhiệm với học viên,2,Positive
máy tính cũ hay lỗi lag máy,3,Negative
nên thay đổi dàn máy tính,4,Negative
thân thiện với sinh viên,2,Positive
bài hay,1,Positive
đi sớm hơn cả sinh viên,2,Positive
tạm ổn,3,Neutral
hoàn hảo,4,Positive
oke,1,Positive
thầy cung cấp đầy đủ tài liệu đề cương chi tiết và giảng dạy dễ hiểu lo lắng và lắng nghe sinh viên khi có thắt mắc,1,Positive
cập nhật kiến thức mới cách làm mới cho học viên,2,Positive
bài tập và số lượng khá đầy đủ,1,Positive
100 điểm,2,Positive
thầy cô vào lớp đúng giờ thầy cô di dạy trễ cho về sớm thầy cô thực hiện giảng dạy theo đúng thời khóa biểu,2,Negative
máy móc đầy đủ nhưng máy lạnh có lúc lạnh lúc nóng,3,Negative
muốn cải thiện chuột trong các phòng vì có 1 số dãy chuột bấm không ăn,4,Negative
đầy đủ dễ hiểu,1,Positive
thân thiện khi hv hỏi,2,Positive
đúng h,2,Positive
thầy cung cấp đủ tài liệu đề cương chi tiết,1,Positive
thầy dạy rõ từng phần chương bài chuyên nghiệp,1,Positive
thầy dạy hay kiến thức mới,2,Positive
dễ hiểu dạy chậm đúng tiến độ của tkb,2,Positive
thầy thân thiện nhiệt tình khi học viên hỏi,2,Positive
số lượng bài tập ít dễ hiểu nào không biết thầy chỉ,1,Positive
thầy không có chấm điểm thầy chỉ nói tốt hay không tốt rồi thầy chỉ chỗ sai thôi,2,Positive
thầy ra vào lớp đúng giờ dạy đúng tkb không nghỉ buổi nào,2,Positive
phòng học quạt đèn đều ổn ạ chỉ có máy tính hơi lag nhẹ,3,Negative
mong nhà trường có thể đầu tư thêm về phần máy tính bên khu e ạ con chuột bấm không ăn ạ,4,Negative
thầy chủ động tương tác với học viên trong giờ học thầy thân thiện với học viên khi học viên hỏi,2,Positive
bài tập đa dạng gồm nhiều cấp độ phù hợp với học viên đi từ dễ đến khó,1,Positive
thầy vào ra lớp đúng giờ thầy thực hiện giảng dạy theo đúng thời khóa biểu,2,Positive
có đủ tài liệu,1,Positive
rất chậm và dễ hiểu cặn kẽ,1,Positive
thầy có kiến thức ổn để dạy level này,2,Positive
thực hành chủ động từng mảng kiến thức một,2,Positive
chấm đạt,2,Positive
máy hơi tệ,3,Negative
thầy công bố đầy đủ tài liệu học tập,1,Positive
nội dung giảng dạy đầy đủ,1,Positive
kinh nghiệm giảng dạy tốt,2,Positive
hành vi thái độ trong quá trình học tập đối với sinh viên tốt,2,Positive
bài tập trong quá trình học tâp làm vừa đủ,1,Positive
thiết bị oke,3,Positive
nên làm thêm vách cách ngang mỗi dãy tránh làm ồn,4,Negative
thầy cô cho tài liệu đầy đủ,1,Positive
nội dung bám sát học liệu mà thầy cô đã cho,1,Positive
kinh nghiệm đầy đủ,2,Positive
phương pháp dễ hiểu,2,Positive
thái độ hòa nhã thân thiện giúp đỡ,2,Positive
cho nhiều bài tập để rèn luyện và trau dồi,1,Positive
chấm điểm đúng với bảng điểm đã đề ra,2,Positive
thực hiện nghiêm túc quy chê và quy định,2,Positive
thiết bị dạy học tuy không hiện đại nhưng có độ nhạy nhất định,3,Negative
thầy bám bám sát nội dung môn học trong từng phần chương bài khoa học rõ ràng,1,Positive
thầy giảng bài dễ hiểu,2,Positive
thầy dạy chậm dễ hiểu,2,Positive
không giao bài tập quá nhiều,1,Negative
còn vài máy tính bị lag không ổn định,3,Negative
thực tiễn,2,Neutral
hơi xuống cấp,3,Negative
6 10,1,Neutral
2 10,3,Neutral
đầu tư csvc bàn ghế ngồi rất đau lưng máy tính lỗi thời,4,Negative
thầy cô cung cấp đầy đủ giáo trình đề cương thông tin rõ ràng,1,Positive
thầy cô giảng dạy theo đúng chương trình bám sát nội dung cách thức truyền đạt dễ tiếp thu,1,Positive
dễ hiểu dễ vận dụng nhiệt tình tâm huyết,2,Positive
thầy cô chủ động trong việc giảng dạy thân thiện,2,Positive
bài tập bám sát nội dung cơ cấu đề thi giúp sinh viên bám sát nội dung ôn tập hiệu quả,1,Positive
ra vào giờ đúng theo giờ quy định,2,Positive
các thiết bị đầy đủ đáp ứng được nhu cầu của sinh viên,3,Positive
thầy cung cấp đầy đủ nội dung bài học,1,Positive
thầy bám sát vào nội dung môn học,1,Positive
thầy nhiệt tình giảng dạy,2,Positive
giảng dạy đầy đủ,1,Positive
giảng dạy đúng thời khoá biểu,2,Positive
thái độ tích cực,2,Positive
thầy cô cung cấp đầy đủ đề cương chi tiết mục tiêu học tập chung của môn học cách thức kiểm tra đánh giá,2,Positive
thầy cô cung cấp đầy đủ đề cương chi tiết mục tiêu học tập chung của môn học cách thức kiểm tra đánh giá,3,Positive
thầy cô cung cấp đầy đủ đề cương chi tiết mục tiêu học tập chung của môn học cách thức kiểm tra đánh giá,4,Positive
cô bám bám sát nội dung môn học trong từng phần chương bài khoa học rõ ràng,1,Positive
khá ổn,1,Neutral
trung tâm khảo thí không công bằng bắt oan sinh viên,4,Positive
thầy cô bám bám sát nội dung môn học,2,Positive
cô giỏi,2,Positive
có máy lạnh,3,Positive
dễ hiểu hấp dẫn sinh động tạo hứng thú học tập thầy cô dạy chậm dễ hiểu đúng tiến độ của tkb thầy cô dạy quá nhanh và khó hiểu bài để sinh viên tự học chỉ gửi clip tham khả,2,Negative
cũng hợp lý,1,Neutral
hợp lý,1,Positive
phòng học máy chiếu máy lạnh đèn bàn ghế,3,Neutral
ví dụ thầy cô cung cấp đầy đủ đề cương chi tiết mục tiêu học tập chung của môn học cách thức kiểm tra đánh giá giáo trình bài giảng tài liệu tham khảo và cách thức tìm các tài liệu học tập của môn thông tin cá nhân của thầy cô đến sinh viên các ý kiến khác,1,Positive
ví dụ thầy cô cung cấp đầy đủ đề cương chi tiết mục tiêu học tập chung của môn học cách thức kiểm tra đánh giá giáo trình bài giảng tài liệu tham khảo và cách thức tìm các tài liệu học tập của môn thông tin cá nhân của thầy cô đến sinh viên các ý kiến khác,2,Positive
ví dụ thầy cô cung cấp đầy đủ đề cương chi tiết mục tiêu học tập chung của môn học cách thức kiểm tra đánh giá giáo trình bài giảng tài liệu tham khảo và cách thức tìm các tài liệu học tập của môn thông tin cá nhân của thầy cô đến sinh viên các ý kiến khác,3,Positive
ví dụ thầy cô cung cấp đầy đủ đề cương chi tiết mục tiêu học tập chung của môn học cách thức kiểm tra đánh giá giáo trình bài giảng tài liệu tham khảo và cách thức tìm các tài liệu học tập của môn thông tin cá nhân của thầy cô đến sinh viên các ý kiến khác,4,Positive
cô chủ động tương tác với học viên trong giờ học thầy cô không chủ động tương tác với học viên trong giờ học cô nhiệt tình và có trách nhiệm với học viên,2,Positive
cô cung cấp đầy đủ đề cương chi tiết bài giảng giáo trình,1,Positive
số lượng bài tập hợp lý theo giáo án,1,Positive
cô luôn đúng giờ,2,Positive
thiết bị dạy học cao cấp,3,Positive
thầy cô dạy quá nhanh và khó hiểu bài để sinh viên tự học,2,Negative
không hiểu nên ít làm,1,Neutral
bài tập tương đối,1,Negative
tạo điều kiện cho sinh viên tích điểm,2,Positive
đầy đủ không bị hư hỏng,3,Positive
giảng viên tương tác vs sinh viên nhiều thiệt nhiều,4,Positive
ý kiến đề cập đến kinh nghiệm thực tiễn và việc đưa nội dung thực tiễn lồng ghép vào bài giảng,2,Positive
chủ động tương tác với học sinh,2,Positive
số lượng bài tập,1,Neutral
điểm cao,2,Positive
cô đến lớp rất sớm,2,Positive
hoàn hảo,3,Positive
thầy cô cùng cấp đủ đề cương,1,Positive
nội dung thực tiễn sinh động,2,Positive
dễ hiểu sinh động dễ tiếp thu,2,Positive
thầy cô vui vẻ với học sinh không bị gò bó,2,Positive
dễ thực hiện không có quá sức vơi học sinh,1,Positive
công minh rõ ràng,2,Positive
đúng quy chế của nhà trường,2,Positive
đầy đủ rõ ràng,1,Positive
dạy kĩ dễ hiểu đúng tiến độ tkb,2,Positive
nhiệt tình có trách nhiệm chủ động tương tác hỗ trợ sinh viên,2,Positive
không quá phức tạp khó hiểu có thể làm được,1,Positive
đúng giờ đúng thời khoá biểu,2,Positive
đầy đủ ổn định,3,Positive
có tất cả,1,Positive
có tất cả,2,Positive
cô chủ động tương tác với học viên,2,Positive
cũng ok,1,Neutral
máy bị cũ khó sử dụng,3,Negative
trang bị máy tính mới,4,Negative
thầy nhiệt tình giảng dạy dễ hiểu,2,Positive
máy tính hay bị lag máy lạnh có lúc quá lạnh có lúc nóng,3,Negative
rất dễ hiểu,2,Positive
nhiệt tình và thân thiện,2,Positive
rất công tâm,2,Positive
thầy cô vào ra đúng giờ dạy đúng theo tkb,2,Positive
laptop,3,Neutral
quá hay,2,Positive
quá ok,2,Positive
thầy cô cung cấp đầy đủ đề cương chi tiết mục tiêu học tập chung của môn học cách thức kiểm tra đánh giá giáo trình bài giảng tài liệu tham khảo và cách thức tìm các tài liệu học tập của môn thông tin cá nhân của thầy cô đến sinh,1,Positive
thầy cô cung cấp đầy đủ đề cương chi tiết mục tiêu học tập chung của môn học cách thức kiểm tra đánh giá giáo trình bài giảng tài liệu tham khảo và cách thức tìm các tài liệu học tập của môn thông tin cá nhân của thầy cô đến sinh,2,Positive
thầy cô cung cấp đầy đủ đề cương chi tiết mục tiêu học tập chung của môn học cách thức kiểm tra đánh giá giáo trình bài giảng tài liệu tham khảo và cách thức tìm các tài liệu học tập của môn thông tin cá nhân của thầy cô đến sinh,3,Positive
chi tiết đầy đủ,1,Positive
đubgs giờ,2,Positive
đầy đủ chi tiết,2,Positive
bám sát nội dung bài,1,Positive
nghiêm khắc,2,Negative
không có ạ,3,Neutral
cung cấp đầy đủ học liệu đề cương chi tiết,1,Positive
bám sát nội dung môn học,1,Positive
tốt vừa đủ,1,Positive
thực hiện giảng dạy đúng thời khoá biểu,2,Positive
cô đưa ra các bài học thực tế,2,Positive
slide rõ ràng dễ hiểu,2,Positive
cô tương tác với học sinh,2,Positive
chấm điểm rõ ràng,2,Positive
thầy cô chủ động tương tác với học viên,2,Positive
dạ không ý kiến ạ,1,Neutral
bài tập bám sát nội dung,1,Positive
thầy bám bám sát nội dung môn học trong từng phần chương bài,1,Positive
cao cấp,3,Positive
nhiệt tình và có trách nhiệm,2,Positive
đa dạng phong phú tiện nghi,3,Positive
thực tế,1,Positive
chủ động thân thiện,2,Positive
thầy cô chưa tiếp thu ý kiến phản hồi của sinh viên thầy cô có thái độ khó chịu khi sinh viên hỏi bài thầy cô thân thiện với học viên khi học viên hỏi,2,Positive
cung cấp đầy đủ tài liệu giáo trình đề cương chi tiết,1,Positive
bám sát đề bài,1,Positive
thầy cung cấp đầy đủ tất cả,1,Positive
thầy bám sát nội dung rõ ràng chuyên nghiệp,1,Positive
dễ hiểu hay sinh động,2,Positive
thầy tương tác rất tốt,2,Positive
đầy đủ không có vấn đề,3,Positive
thầy cô,1,Neutral
thầy cô,2,Neutral
thầy cô,3,Neutral
cô bán sát nội dung môn học,1,Positive
cô ra lớp đúng giờ,2,Positive
thầy cô cung cấp đầy đủ đề cương chi tiết mục tiêu học tập chung của môn học cách thức,1,Positive
thầy cô vào ra lớp đúng giờ thầy cô di dạy trễ cho về sớm thầy cô thực hiện giảng dạy theo đúng,2,Positive
cô cung cấp đầy đủ đề cương chi tiết mục tiêu học tập chung của môn học cách thức kiểm tra đánh giá giáo trình bài giảng tài liệu tham khảo và cách thức tìm các tài liệu học tập của môn thông tin cá nhân của cô đến sinh viên,1,Positive
các ý kiến đề cập đến trang thiết bị dạy học như phòng học máy chiếu quạt đèn,4,Neutral
chấm chính xác,2,Neutral
rất hài lòng,2,Positive
bài tập đủ đúng,1,Positive
nhiều gấp,1,Neutral
không đề xuất,4,Neutral
ôn,2,Neutral
rất tệ,1,Negative
khó hiểu,1,Negative
nhàm chán,2,Negative
hời hợt,2,Negative
bài rất khó so với bài giảng,1,Negative
luôn cho lớp ra trễ,2,Negative
không cho giảng dạy nữa,4,Negative
thầy cô bám bám sát nội dung môn học trong từng phần chương bà,1,Positive
có nhiều kinh nghiệm thực tiễn và việc đưa nội dung thực tiễn lồng ghép vào bài giảng,2,Positive
số lượng bài tập phù hợp,1,Positive
thiết bị dạy học hiện đại chất lượng tốt,3,Positive
số lượng bài tập quá ít,1,Negative
thầy cô thực hiện giảng dạy đúng thời khoá biểu,2,Positive
các thiết bị dạy học rất tốt,3,Positive
ôn,1,Neutral
bám sát nd môn học,1,Positive
chủ động tương tác với học viên,2,Positive
các ý kiến đề cập đến đề xuất mong muốn của sinh viên gửi đến giảng viên và nhà trường câu trả lời của bạn,4,Neutral
bài tập có hiệu quả,1,Positive
dễ áp dụng,1,Positive
cách thức kiểm tra đánh giá,1,Neutral
để sinh viên tự học,2,Negative
các ý kiến đề cập đến bài tập số lượng bài tập và các loại bài tập của giảng viên,2,Neutral
các ý kiến đề cấp đến,2,Neutral
bám sát nội dung chương trình đưa thực tiễn vào nội dung giảng dạy làm sinh động thêm tiết học,2,Positive
công bằng thực tế công tâm,2,Positive
thầy cô nghiêm túc,2,Positive
đầy đủ hiểu quả,1,Positive
trung thực chính xác đúng năng lực sinh viên,2,Positive
laptop máy chiếu đèn máy lạnh,3,Neutral
không co y kien,1,Neutral
không co y kien,2,Neutral
không co y kien,3,Neutral
không co y kien,4,Neutral
thầy cung cấp đầy đủ thông tin về kiến thức,1,Positive
thầy dạy và ôn tập bám sát với nội dung thi cho sinh viên,1,Positive
thầy có nhiều kinh nghiệm trong giang dạy,2,Positive
dễ tiếp thu và dễ nhớ,2,Positive
thầy cô tương tác với sinh viên rất tốt,2,Positive
các bài tập được thầy giao đều đúng với ưuy trình ôn thi,1,Positive
thầy sẽ cho điểm sau mỗi bài tập,2,Positive
thầy vào lớp lun đúng giơg,2,Positive
mọi trang thiết bị đều tốt,3,Positive
thầy khanhvinh cung cấp đầy đủ đề cương chi tiết mục tiêu học tập chung của môn học cách thức kiểm tra đánh giá giáo trình bài giảng,1,Positive
thầy khanhvinh bám sát nội dung môn học trong từng phần của các bài khoa học rõ ràng chuyên nghiệp,1,Positive
kinh nghiệm giảng dạy rất tốt và vững cho mỗi phần,2,Positive
dễ hiểu hấp dẫn sinh động dạy dễ hiểu đúng tiến độ theo tkb,2,Positive
thân thiện nhiệt tình chủ động tương tác với học viên,2,Positive
bài tập về word excel ppt,1,Neutral
ra vào lớp đúng giờ tác phong giảng dạy chuyên nghiệp thực hiện giảng dạy theo tkb,2,Positive
web google classroom máy tính,3,Neutral
thầy cô cung cấp đầy đủ đề cương chi tiết mục tiêu học tập chung của môn học cách thức kiểm tra đánh giá có đầy đủ giáo trình bài giảng tài liệu tham khảo và cách thức tìm các tài liệu học tập của môn,1,Positive
thầy cô nhiệt tình và có trách nhiệm với học viên thân thiện với học viên khi học viên hỏi,2,Positive
bài tập đầy đủ nhiều thể loại,1,Positive
thầy cung cấp đầy đủ tài liệu,1,Positive
kinh nghiệm đa dạng các cách thực hành nhanh và phổ biến,2,Positive
dạy kỹ từng bước,2,Positive
thầy nhiệt tình và có trách nhiệm với sv thỉnh thoảng chủ động tương tác với sv thầy thân thiện khi sv hỏi bài nhiệt tình chỉ dẫn,2,Positive
vừa khó vừa dễ,1,Negative
không có tính điểm,2,Neutral
thầy vào ra lớp đúng giờ thầy cô thực hiện giảng dạy theo đúng thời khóa biểu,2,Positive
học online,3,Neutral
thầy dạy dễ hiểu đúng tiến độ của tkb,2,Positive
thực hiện đúng,2,Positive
